HotelID,Rating,latitude,longitude,Date,Overall,Value,Rooms
91577,3,39.7715517791016,-86.1645770219185,2011-04-07,3,2,2
91577,3,39.7715517791016,-86.1645770219185,2007-12-05,3,2,3
91577,3,39.7715517791016,-86.1645770219185,2011-06-13,4,4,0
91577,3,39.7715517791016,-86.1645770219185,2011-07-20,3,2,0
91577,3,39.7715517791016,-86.1645770219185,2011-08-31,3,3,0
91577,3,39.7715517791016,-86.1645770219185,2011-09-13,4,4,4
91577,3,39.7715517791016,-86.1645770219185,2011-09-22,4,4,4
91577,3,39.7715517791016,-86.1645770219185,2011-09-23,5,5,4
91577,3,39.7715517791016,-86.1645770219185,2011-10-24,4,5,4
91577,3,39.7715517791016,-86.1645770219185,2011-11-10,5,5,5
91577,3,39.7715517791016,-86.1645770219185,2011-12-16,5,5,5
91577,3,39.7715517791016,-86.1645770219185,2012-01-12,5,5,5
91577,3,39.7715517791016,-86.1645770219185,2012-01-16,4,4,5
91577,3,39.7715517791016,-86.1645770219185,2012-02-21,4,4,4
91577,3,39.7715517791016,-86.1645770219185,2012-02-29,5,5,4
91577,3,39.7715517791016,-86.1645770219185,2008-01-21,4,0,0
91577,3,39.7715517791016,-86.1645770219185,2008-02-29,2,2,2
91577,3,39.7715517791016,-86.1645770219185,2008-07-25,2,3,2
91577,3,39.7715517791016,-86.1645770219185,2008-08-01,3,3,4
91577,3,39.7715517791016,-86.1645770219185,2008-08-29,1,1,1
91577,3,39.7715517791016,-86.1645770219185,2008-10-08,4,0,0
91577,3,39.7715517791016,-86.1645770219185,2009-01-07,5,4,4
91577,3,39.7715517791016,-86.1645770219185,2009-08-22,5,0,0
91577,3,39.7715517791016,-86.1645770219185,2009-09-13,4,5,4
91577,3,39.7715517791016,-86.1645770219185,2009-10-12,5,3,5
91577,3,39.7715517791016,-86.1645770219185,2009-10-19,5,5,4
91577,3,39.7715517791016,-86.1645770219185,2009-11-13,3,3,2
91577,3,39.7715517791016,-86.1645770219185,2010-05-06,4,0,0
91577,3,39.7715517791016,-86.1645770219185,2010-08-23,5,3,3
91577,3,39.7715517791016,-86.1645770219185,2007-07-26,2,3,3
91577,3,39.7715517791016,-86.1645770219185,2010-10-16,4,5,5
91577,3,39.7715517791016,-86.1645770219185,2010-11-01,4,4,4
91577,3,39.7715517791016,-86.1645770219185,2011-03-04,5,5,5
91577,3,39.7715517791016,-86.1645770219185,2011-03-12,5,5,5
2514173,4,40.75205,-73.994517,2011-03-14,5,5,5
2514173,4,40.75205,-73.994517,2011-03-16,5,5,5
2514173,4,40.75205,-73.994517,2011-03-18,5,0,0
2514173,4,40.75205,-73.994517,2011-03-24,5,4,4
2514173,4,40.75205,-73.994517,2011-03-25,5,5,5
2514173,4,40.75205,-73.994517,2011-03-27,4,3,5
2514173,4,40.75205,-73.994517,2011-03-28,5,3,5
2514173,4,40.75205,-73.994517,2011-04-01,5,5,5
2514173,4,40.75205,-73.994517,2011-04-04,5,5,5
2514173,4,40.75205,-73.994517,2011-04-05,5,5,5
2514173,4,40.75205,-73.994517,2011-04-10,3,3,2
2514173,4,40.75205,-73.994517,2011-04-11,3,4,3
2514173,4,40.75205,-73.994517,2011-04-13,5,3,4
2514173,4,40.75205,-73.994517,2011-04-17,3,3,4
2514173,4,40.75205,-73.994517,2011-04-18,3,5,4
2514173,4,40.75205,-73.994517,2011-04-18,3,2,3
2514173,4,40.75205,-73.994517,2011-04-20,4,4,5
2514173,4,40.75205,-73.994517,2011-04-21,5,4,5
2514173,4,40.75205,-73.994517,2011-04-23,5,5,5
